order_id,customer_id,product_id,order_date,quantity,unit_price,discount_pct,total_revenue,status,country,region,shipping_days
ORD000001,C00153,P017,2024-10-29,1,164.35,0.0,164.35,Completed,Spain,South,2
ORD000002,C00368,P023,2025-09-11,1,18.77,0.0,18.77,Completed,Germany,Central,3
ORD000003,C00058,P005,2024-02-07,1,79.72,0.0,79.72,Completed,Germany,Central,6
ORD000004,C00396,P011,2024-01-21,4,137.22,0.0,548.88,Pending,France,West,2
ORD000005,C00050,P017,2025-12-20,1,164.35,0.0,164.35,Completed,France,West,5
ORD000006,C00367,P002,2024-06-11,1,622.48,0.0,622.48,Completed,Germany,Central,4
ORD000007,C00289,P022,2024-11-06,1,10.62,0.0,10.62,Completed,Germany,Central,4
ORD000008,C00325,P005,2026-06-15,1,79.72,0.0,79.72,Completed,France,West,7
ORD000009,C00234,P024,2025-11-22,1,43.76,0.05,41.57,Completed,UK,North,1
ORD000010,C00060,P019,2024-01-10,2,105.44,0.05,200.34,Completed,France,West,5
ORD000011,C00436,P003,2025-10-12,3,176.54,0.0,529.62,Completed,Germany,Central,7
ORD000012,C00061,P017,2024-05-14,3,164.35,0.0,493.05,Completed,Spain,South,7
ORD000013,C00299,P017,2025-09-04,1,164.35,0.0,164.35,Completed,Spain,South,3
ORD000014,C00452,P030,2024-08-31,19,63.56,0.0,1207.64,Completed,Germany,Central,7
ORD000015,C00135,P026,2026-05-07,1,23.99,0.0,23.99,Completed,UK,North,2
ORD000016,C00438,P008,2024-09-10,1,80.48,0.0,80.48,Completed,Germany,Central,3
ORD000017,C00280,P015,2024-04-29,3,138.08,0.0,414.24,Completed,Germany,Central,4
ORD000018,C00181,P009,2024-05-01,1,105.66,0.0,105.66,Completed,Germany,Central,4
ORD000019,C00002,P008,2025-01-31,1,80.48,0.0,80.48,Returned,Germany,Central,7
ORD000020,C00179,P017,2025-05-07,2,164.35,0.0,328.7,Completed,Germany,Central,7
ORD000021,C00039,P028,2025-12-04,41,41.33,0.1,1525.08,Completed,UK,North,6
ORD000022,C00357,P002,2023-08-02,1,622.48,0.05,591.36,Completed,Germany,Central,5
ORD000023,C00073,P015,2025-06-12,1,138.08,0.05,131.18,Completed,France,West,3
ORD000024,C00093,P014,2026-05-14,1,302.9,0.0,302.9,Completed,France,West,7
ORD000025,C00035,P007,2023-11-21,2,45.68,0.0,91.36,Completed,Netherlands,North,3
ORD000026,C00304,P011,2026-03-22,1,137.22,0.0,137.22,Completed,Germany,Central,6
